SUBJID,Sex,Var1,Var2
1,M,22802.5388,3.357733
2,M,21939.06095,2.911354
3,M,26923.57931,3.599091
4,M,19286.47749,3.629882
5,M,22676.22944,3.776481
6,M,29022.04038,2.842286
7,M,23250.44927,3.418719
8,M,20988.19914,3.703253
9,M,22165.01764,3.513191
10,M,22525.03825,3.624327
11,M,24379.82795,3.458917
12,M,19147.68911,3.715125
13,M,21410.89831,3.668001
14,M,25209.90726,3.804548
15,M,16730.39478,3.576546
16,M,25174.36328,3.57153
17,M,22395.8559,3.558845
18,M,27422.42907,3.487157
19,M,23092.8057,3.220774
20,M,20432.3023,3.610746
21,M,23988.55294,3.117332
22,M,20195.98138,3.520917
23,M,25450.22501,3.444621
24,M,21354.84647,3.44121
25,M,21199.18065,3.858624
26,M,25270.89784,3.557783
27,M,24301.71692,3.469142
28,M,19788.79647,3.321147
29,M,21865.01025,3.352969
30,M,21279.72466,2.95838
31,M,26815.36498,3.013683
32,M,17238.88484,3.320215
33,M,25935.36111,3.318248
34,M,22268.86085,3.612486
35,M,18425.73512,3.488313
36,M,23831.73269,3.20346
37,M,18295.32547,3.573106
38,M,21235.76837,3.545362
39,M,22527.9419,3.50218
40,M,21956.23392,3.219875
41,M,24449.21291,3.515374
42,M,22011.34064,3.416433
43,M,23569.26748,3.699697
44,M,21592.46473,3.40946
45,M,23270.20849,3.494827
46,M,20896.58356,3.728749
47,M,21629.97924,3.744607
48,M,25027.74318,3.07955
49,M,27133.61803,2.948137
50,M,21042.09843,3.811034
51,M,23301.00478,3.047242
52,M,23454.63678,3.458917
53,M,23649.18419,3.608687
54,M,23556.79382,3.623869
55,M,25712.98213,3.57653
56,M,23051.91634,3.178349
57,M,17568.48355,3.219706
58,M,24896.59558,3.371867
59,M,24641.39329,3.653082
60,M,21088.09444,3.489126
61,M,23412.33632,3.35101
62,M,24927.63429,3.586348
63,M,22492.8337,3.765054
64,M,24417.13273,3.616549
65,M,17723.73951,3.758944
66,M,19411.6964,3.616366
67,M,23456.17859,3.274814
68,M,25966.80732,3.39619
69,M,23363.42009,3.08578
70,M,23460.73093,3.363785
71,M,20545.70621,3.392854
72,M,24155.03944,3.299837
73,M,19028.1403,3.222301
74,M,24394.81404,3.106173
75,M,23998.66026,3.343405
76,M,22942.80062,3.457063
77,M,18509.18924,3.519932
78,M,27020.97483,3.211703
79,M,20524.55765,3.596254
80,M,22183.95281,3.564773
81,M,24729.22476,3.657653
82,M,21940.94622,3.295007
83,M,23762.40265,3.697185
84,M,22196.02893,3.323544
85,M,20824.73539,3.36041
86,M,17140.0398,3.586332
87,M,19249.51516,3.177013
88,M,24760.28102,3.315112
89,M,18776.6023,3.582139
90,M,22483.35605,3.816257
91,M,25330.24236,3.619644
92,M,20547.19458,3.39463
93,M,26106.74867,3.396361
94,M,19945.38219,3.751201
95,M,20805.75582,3.510675
96,M,26247.31893,3.417307
97,M,19499.72243,3.698099
98,M,22220.17282,3.301645
99,M,22753.6973,3.49499
100,M,25438.40765,3.437493
101,M,23989.24445,3.67124
102,M,23046.32078,3.5301
103,M,21597.61423,3.581424
104,M,28034.81835,3.231892
105,M,17771.70596,3.383881
106,M,25488.76661,3.433057
107,M,24833.58149,3.527243
108,M,21913.07306,3.045347
109,M,25203.18518,3.353408
110,M,26954.71865,3.517285
111,M,23291.06705,3.41682
112,M,22607.53615,3.741361
113,M,21084.25877,3.496592
114,M,31454.10093,3.678124
115,M,28724.4277,3.132623
116,M,22602.86842,3.483883
117,M,28493.77138,3.324421
118,M,24282.70877,3.402903
119,M,25747.6565,3.33474
120,M,24878.12183,3.471271
121,M,22298.71427,3.60317
122,M,19468.68663,3.425883
123,M,24996.14657,3.397739
124,M,19477.49449,2.835091
125,M,28081.85928,3.954853
126,M,20233.26874,3.529534
127,M,27421.0812,3.177883
128,M,23295.42112,3.444809
129,M,20898.74796,3.195085
130,M,18524.93808,3.46142
131,M,24264.39417,3.688658
132,M,29332.10554,3.332977
133,M,21286.42437,3.219929
134,M,19748.64071,3.489179
135,M,23502.02643,3.302645
136,M,22582.28323,3.701007
137,M,20021.23849,3.525035
138,M,24427.92008,3.653888
139,M,23942.66317,3.218139
140,M,20538.37617,3.47877
141,M,20429.59211,3.264542
142,M,19073.33139,3.82903
143,M,21666.1692,3.656848
144,M,27991.21658,3.698599
145,M,21173.85851,3.217201
146,M,21973.78713,3.697801
147,M,22401.66177,3.72613
148,M,23124.69935,3.355129
149,M,22481.46162,3.095383
150,M,23081.26976,3.491829
151,M,21430.04873,3.381071
152,M,19684.37005,3.499556
153,M,28883.96852,2.872682
154,M,21646.60233,3.483512
155,M,23928.69878,3.531315
156,M,24284.50168,3.304039
157,M,19395.50511,3.396099
158,M,23565.86932,3.215239
159,M,22361.74723,3.67322
160,M,21308.74809,3.287609
161,M,22277.63788,3.744474
162,M,25197.1125,3.346696
163,M,19974.82413,3.511319
164,M,29731.69357,3.656687
165,M,21480.72721,3.222936
166,M,22174.69846,3.473851
167,M,21596.34472,3.268529
168,M,26742.62569,3.405751
169,M,21471.12684,3.713179
170,M,21303.57852,3.700418
171,M,23637.45643,3.287661
172,M,22650.02809,3.768406
173,M,17566.59936,3.092569
174,M,21209.74754,3.290528
175,M,26812.29179,3.243184
176,M,17973.49878,3.578295
177,M,22685.26854,3.491848
178,M,18151.52814,3.540772
179,M,23839.55303,3.371633
180,M,29609.251,3.223556
181,M,23985.11205,3.501907
182,M,24658.94162,3.441849
183,M,25018.6655,3.515434
184,M,21887.40453,3.758837
185,M,26381.70282,3.88691
186,M,25610.47,3.517973
187,M,21532.25234,3.685252
188,M,22330.47453,3.555152
189,M,20474.61018,3.314797
190,M,20731.69607,3.617664
191,M,23706.91619,3.567664
192,M,25704.69717,3.714449
193,M,25265.67066,3.488293
194,M,19909.97806,3.697693
195,M,25482.86654,3.669352
196,M,19645.20758,3.046461
197,M,20147.43543,3.518077
198,M,20801.90252,3.418991
199,M,24851.8392,3.351372
200,M,24076.9058,3.21042
201,F,16129.9267,3.668743
202,F,17607.25492,3.807597
203,F,22853.73551,2.954694
204,F,21554.68198,3.759507
205,F,22970.35568,3.93887
206,F,22779.93119,3.630183
207,F,24531.43046,3.284165
208,F,17519.67057,3.514342
209,F,19077.27562,3.793325
210,F,16868.67408,3.452855
211,F,16234.09956,3.897291
212,F,22279.88569,3.477055
213,F,17963.78437,3.795861
214,F,21957.06381,3.703381
215,F,19357.73413,3.624562
216,F,18545.37817,3.687872
217,F,19419.199,3.801319
218,F,21282.83844,3.237025
219,F,19445.4126,3.654352
220,F,14863.90721,3.720573
221,F,19884.50992,3.123969
222,F,21475.64821,3.713181
223,F,23109.22183,3.508722
224,F,21822.7843,3.604996
225,F,25070.39407,3.681524
226,F,20207.13709,3.454305
227,F,16115.40768,3.925414
228,F,20492.91812,3.132186
229,F,25136.33206,3.92687
230,F,19666.17832,3.640656
231,F,23550.36448,3.575945
232,F,24172.65222,3.573543
233,F,20079.12435,3.321369
234,F,21523.36555,3.704758
235,F,24799.239,2.998229
236,F,22745.54893,3.051589
237,F,21545.90751,3.584925
238,F,19247.68699,3.494562
239,F,19727.67185,3.842306
240,F,16387.44538,3.578497
241,F,19113.35324,3.653434
242,F,21970.19059,3.57535
243,F,18400.49001,3.622991
244,F,21274.63653,3.525653
245,F,17999.49968,3.54314
246,F,22908.60862,3.31823
247,F,21660.2237,3.323863
248,F,22647.47571,3.374914
249,F,19209.36466,3.855875
250,F,24006.88989,3.272405
251,F,19819.26286,3.586639
252,F,20394.04235,3.729835
253,F,21588.82647,3.248653
254,F,19860.26387,2.708015
255,F,19750.95437,3.669886
256,F,24979.00251,3.466856
257,F,22855.69935,3.819805
258,F,19474.80934,3.591492
259,F,18251.65671,3.681492
260,F,20354.28287,3.647749
261,F,19712.70141,3.533322
262,F,19400.60107,3.599593
263,F,24023.1416,3.470263
264,F,20646.85744,3.360394
265,F,23125.14335,3.654776
266,F,20302.40404,3.505535
267,F,14885.33959,3.320837
268,F,21375.77767,3.445215
269,F,22515.60461,3.174785
270,F,20609.42221,4.027987
271,F,21242.87291,3.758515
272,F,21567.93879,3.738971
273,F,14318.15661,3.583634
274,F,26816.41131,3.598002
275,F,19392.18596,3.440624
276,F,26868.74186,3.47381
277,F,21778.18592,3.997626
278,F,18282.25337,3.556557
279,F,19767.14516,3.719183
280,F,19942.84011,3.200409
281,F,19346.57246,3.610636
282,F,23190.33824,3.55356
283,F,19671.65983,3.672329
284,F,16933.55005,3.360814
285,F,16799.75164,3.568074
286,F,19685.65361,3.624403
287,F,18410.87525,3.59217
288,F,18403.95668,3.868458
289,F,20346.40487,3.61372
290,F,17858.58615,3.301931
291,F,18779.75338,3.529417
292,F,22080.31991,3.853072
293,F,17738.70362,3.30826
294,F,19505.19337,3.824438
295,F,22680.56045,3.770953
296,F,19132.12713,3.817931
297,F,21313.86038,3.362688
298,F,18176.0499,3.08395
299,F,19642.95783,3.660786
300,F,17077.53818,3.415867
301,F,19817.82156,3.75952
302,F,20008.03344,3.66103
303,F,15738.60513,2.55174
304,F,19254.36603,3.55145
